Unforetold: Witchstone,0.0,false,Early Access CRPG Tabletop Choices Matter
Go Mecha Ball,0.0,false,Shoot 'Em Up Twin Stick Shooter Arcade Roguelike
UNDERDOGS,0.0,false,Action Roguelike Action Character Customization VR
RIN: The Last Child,0.0,false,Metroidvania Platformer Action Exploration
Mad World  - Age of Darkness - MMORPG,0.0,false,MMORPG Dark Fantasy Post-apocalyptic PvP
Fractured Veil,0.0,false,Early Access Exploration Building Survival Horror
TEKKEN 8,5.0,false,Action Fighting 3D Fighter Multiplayer
Paper Lily - Chapter 1,0.0,false,Psychological Horror Pixel Graphics Adventure Anime
Into the Necrovale,0.0,false,Early Access Action Roguelike Hack and Slash Roguelike
Kurone's Feelings ~Apprentice Witch of Starfall Village~,0.0,false,Sexual Content Nudity NSFW Adventure
The Symbiant Re:Union,0.0,false,Choose Your Own Adventure Visual Novel Romance LGBTQ+
Chronique des Silencieux,0.0,false,Story Rich Detective Point & Click Isometric
JOY OF PROGRAMMING - Software Engineering Simulator,0.0,false,Early Access Programming Automation Logic
Virtual Driving School,0.0,false,Racing Education Driving Tutorial
Corsairs Legacy - Pirate Action RPG & Sea Battles,0.0,false,Early Access Pirates Sailing Open World
Hellblade: Senua's Sacrifice,2.0,true,Atmospheric Psychological Story Rich Female Protagonist
EA SPORTS FC™ 24,2.0,true,Football (Soccer) Sports Controller PvP
Hell Let Loose,1.0,true,Shooter World War II Multiplayer Realistic
Cult of the Lamb,7.0,true,Base Building Cute Action Roguelike Character Customization
Forza Horizon 5,1.0,true,Racing Open World Driving Multiplayer
Deep Rock Galactic,9.0,true,Co-op PvE FPS Procedural Generation
Timberborn,9.0,true,Early Access City Builder Colony Sim Base Building
Against the Storm,9.0,true,Strategy Simulation Base Building City Builder
Kingdoms and Castles,4.0,true,City Builder Colony Sim Strategy Medieval
PAC-MAN WORLD Re-PAC,5.0,true,3D Platformer Family Friendly 1990's Cute
NBA 2K24,2.0,true,Sports Simulation Basketball eSports
Sid Meier’s Civilization® VI,5.0,true,Strategy Turn-Based Strategy Multiplayer Historical
Medieval Dynasty,1.0,true,Multiplayer Co-op Medieval Open World
Roboquest,9.0,true,FPS Action Roguelike Roguelite Co-op
Dying Light Definitive Edition,6.0,true,Action RPG Gore Violent
Chants of Sennaar,8.0,true,Adventure Puzzle Singleplayer Colorful
Forza Horizon 4,6.0,true,Racing Open World Driving Multiplayer
Dying Light 2 Stay Human,1.0,true,Co-op Open World Zombies Parkour
Borderlands 3,8.0,true,RPG Looter Shooter Action FPS
Slay the Spire,3.0,true,Roguelike Deckbuilder Card Game Card Battler Roguelike
Euro Truck Simulator 2,2.0,true,Driving Transportation Simulation Open World
Mafia Trilogy,1.0,true,Action Open World Crime Story Rich
Contraband Police,7.0,true,Open World Action First-Person Multiple Endings
FINAL FANTASY XIV Online - Complete Edition,2.0,true,RPG MMORPG Massively Multiplayer Fantasy
SnowRunner,9.0,true,Simulation Automobile Sim Adventure Exploration
Bloons TD 6,3.0,true,Tower Defense Strategy Multiplayer Singleplayer
Borderlands 3: Super Deluxe Edition,1.0,true,RPG Action Looter Shooter Gore
Totally Accurate Battle Simulator,3.0,true,Sandbox Simulation Funny Physics
Barotrauma,8.0,true,Co-op Multiplayer Survival Submarine
The Elder Scrolls® Online,3.0,true,RPG MMORPG Open World Adventure
Untitled Goose Game,4.0,true,Funny Multiplayer Villain Protagonist Co-op
American Truck Simulator,2.0,true,Automobile Sim Driving Open World Transportation
EA SPORTS FC™ 24,2.0,true,Football (Soccer) Sports Controller PvP
"Warhammer 40,000: Darktide",1.0,true,Warhammer 40K Gore Online Co-Op Adventure
Human Fall Flat,3.0,true,Co-op Funny Puzzle Adventure
BOKURA,1.0,true,Action Adventure Pixel Graphics 2D
GUILTY GEAR -STRIVE-,9.0,true,2D Fighter Fighting Anime Great Soundtrack
Green Hell,6.0,true,Open World Survival Craft Survival Multiplayer Online Co-Op
Mafia: Definitive Edition,9.0,true,Open World Action Story Rich Crime
Planet Zoo,6.0,true,Management Simulation Building Sandbox
